DATE;ASSETS;PORTFOLIO;ACTUAL PRICE (€);AVG. ANNUAL VOLATILITY (LAST. 5 YEARS);AVG. BUY PRICE;HOLDINGS BUYED;ACTUAL HOLDINGS;TOTAL INVEST MONEY;ACTUAL MONEY;PROFIT/LOSS;PROFIT/LOSS (%);% OF THE PORTOLIO;% OF THE TOTAL;Portfolio Risk Contribution (to the square)
09/06/2024;FANTOM;CRYPTO;0,63 €;120%;1,00 €;1390;705,88;1.393,89 €;881,96 €;-511,94 €;-36,73%;1,42%;0,16%;0,03%
09/06/2024;INDEXA CAPITAL - PERFIL 8;FUNDS;N/A;8%;N/A;N/A;N/A;12.200,00 €;13.761,92 €;1.561,92 €;12,80%;4,76%;2,43%;0,00%
11/05/2024;PERSONAL WALLET;CASH;1,00 €;0%;1,00 €;1150;1150;1.150,00 €;1.150,00 €;0,00 €;0,00%;0,61%;0,20%;0,00%
11/05/2024;CUENTA DE AHORRO BANCO SANTANDER;CASH;1,00 €;0%;1,00 €;10894,49;10894,49;10.894,49 €;10.894,49 €;0,00 €;0,00%;5,80%;1,92%;0,00%
11/05/2024;DEGIRO (Sin Invertir);CASH;1,00 €;0%;1,00 €;10,38;10,38;10,38 €;10,38 €;0,00 €;0,00%;0,01%;0,00%;0,00%
11/05/2024;BINANCE (Sin Invertir);CASH;1,00 €;0%;1,00 €;0;0;0,00 €;0,00 €;0,00 €;#DIV/0!;0,00%;0,00%;0,00%
11/05/2024;VANGUARD FUNDS PLC S&P 500 UCITS ETF USD DIS;ETFs;91,91 €;14%;71,51 €;18;18;1.287,18 €;1.654,36 €;367,18 €;28,53%;6,02%;0,29%;0,01%
11/05/2024;BITCOIN;CRYPTO;56.322,72 €;45%;23.954,00 €;0,03406395;0,03422074;815,97 €;1.918,57 €;1.102,61 €;135,13%;3,10%;0,34%;0,02%
11/05/2024;CARDANO;CRYPTO;0,41 €;70%;1,14 €;200;211,2736383;228,16 €;82,32 €;-145,84 €;-63,92%;0,13%;0,01%;0,00%
11/05/2024;SHIBA;CRYPTO;0,00 €;100%;0,00 €;7717927,95;7221879,65;127,60 €;161,15 €;33,55 €;26,30%;0,26%;0,03%;0,00%
11/05/2024;POLYGON MATIC;CRYPTO;0,64 €;200%;1,04 €;1049,652461;1082,318457;1.091,22 €;667,05 €;-424,16 €;-38,87%;1,08%;0,12%;0,05%
11/05/2024;FANTOM;CRYPTO;0,67 €;120%;1,00 €;1390;705,88;1.393,89 €;926,85 €;-467,04 €;-33,51%;1,50%;0,16%;0,03%
11/05/2024;INDEXA CAPITAL - PERFIL 8;FUNDS;N/A;8%;N/A;N/A;N/A;11.700,00 €;13.109,35 €;1.409,35 €;12,05%;4,54%;2,32%;0,00%
30/03/2024;PERSONAL WALLET;CASH;1,00 €;0%;1,00 €;860;860;860,00 €;860,00 €;0,00 €;0,00%;0,46%;0,15%;0,00%
30/03/2024;CUENTA DE AHORRO BANCO SANTANDER;CASH;1,00 €;0%;1,00 €;11692,44;11692,44;11.692,44 €;11.692,44 €;0,00 €;0,00%;6,23%;2,07%;0,00%
30/03/2024;DEGIRO (Sin Invertir);CASH;1,00 €;0%;1,00 €;10,38;10,38;10,38 €;10,38 €;0,00 €;0,00%;0,01%;0,00%;0,00%
30/03/2024;BINANCE (Sin Invertir);CASH;1,00 €;0%;1,00 €;0;0;0,00 €;0,00 €;0,00 €;#DIV/0!;0,00%;0,00%;0,00%
30/03/2024;VANGUARD FUNDS PLC S&P 500 UCITS ETF USD DIS;ETFs;92,12 €;14%;71,51 €;18;18;1.287,18 €;1.658,11 €;370,93 €;28,82%;6,03%;0,29%;0,01%
30/03/2024;BITCOIN;CRYPTO;64.996,23 €;45%;23.954,00 €;0,03406395;0,03422074;815,97 €;2.214,03 €;1.398,06 €;171,34%;3,57%;0,39%;0,03%
30/03/2024;CARDANO;CRYPTO;0,61 €;70%;1,14 €;200;211,2736383;228,16 €;121,56 €;-106,60 €;-46,72%;0,20%;0,02%;0,00%
30/03/2024;SHIBA;CRYPTO;0,00 €;100%;0,00 €;7717927,95;7221879,65;127,60 €;217,57 €;89,97 €;70,51%;0,35%;0,04%;0,00%
30/03/2024;POLYGON MATIC;CRYPTO;0,93 €;200%;1,04 €;1049,652461;1082,318457;1.091,22 €;971,35 €;-119,87 €;-10,98%;1,57%;0,17%;0,10%
30/03/2024;FANTOM;CRYPTO;0,88 €;120%;1,00 €;1390;705,88;1.393,89 €;1.222,51 €;-171,39 €;-12,30%;1,97%;0,22%;0,06%
30/03/2024;INDEXA CAPITAL - PERFIL 8;FUNDS;N/A;8%;N/A;N/A;N/A;11.200,00 €;12.612,11 €;1.412,11 €;12,61%;4,36%;2,23%;0,00%
10/03/2024;PERSONAL WALLET;CASH;1,00 €;0%;1,00 €;860;860;860,00 €;860,00 €;0,00 €;0,00%;0,46%;0,15%;0,00%
10/03/2024;CUENTA DE AHORRO BANCO SANTANDER;CASH;1,00 €;0%;1,00 €;11398,16;11398,16;11.398,16 €;11.398,16 €;0,00 €;0,00%;6,07%;2,01%;0,00%
10/03/2024;DEGIRO (Sin Invertir);CASH;1,00 €;0%;1,00 €;10,38;10,38;10,38 €;10,38 €;0,00 €;0,00%;0,01%;0,00%;0,00%
10/03/2024;BINANCE (Sin Invertir);CASH;1,00 €;0%;1,00 €;0;0;0,00 €;0,00 €;0,00 €;#DIV/0!;0,00%;0,00%;0,00%
10/03/2024;VANGUARD FUNDS PLC S&P 500 UCITS ETF USD DIS;ETFs;89,52 €;14%;71,51 €;18;18;1.287,18 €;1.611,36 €;324,18 €;25,19%;5,86%;0,28%;0,01%
10/03/2024;BITCOIN;CRYPTO;63.833,11 €;45%;23.954,00 €;0,03406395;0,03422074;815,97 €;2.174,41 €;1.358,44 €;166,48%;3,51%;0,38%;0,02%
10/03/2024;CARDANO;CRYPTO;0,67 €;70%;1,14 €;200;211,2736383;228,16 €;133,20 €;-94,96 €;-41,62%;0,22%;0,02%;0,00%
